SNP	gene	p_value	FDR	q_value
UTP25	SNP1	9.16343424529793E-05	0.0283652193	0.025758271
HRP1	YGR042W	9.16390957888025E-05	0.0283652193	0.025758271
NOR010W	ELG1	9.16431928985666E-05	0.0283652193	0.025758271
FPR4	PAU19	9.16485744036891E-05	0.0283654186	0.0257584519
gOL02	CCW14	9.16667860559597E-05	0.0283693999	0.0257620673
TAF5	UTP7	0.000091671	0.0283693999	0.0257620673
RCR1	MUM3	9.16756535668839E-05	0.0283693999	0.0257620673
YBR032W	MPM1	9.17231720312959E-05	0.0283826376	0.0257740884
PYC2	FSH2	9.17286114649573E-05	0.0283828538	0.0257742848
TYR1	LRP1	9.17801822110464E-05	0.0283968046	0.0257869533
NTC20	VTS1	9.1783183965657E-05	0.0283968046	0.0257869533
SUN4	BUD13	0.0000918	0.0284005474	0.0257903522
MAK5	URK1	9.18503022890578E-05	0.0284146335	0.0258031437
TAF5	LTV1	9.1857356279733E-05	0.0284153475	0.025803792
CTF3	n1	9.1874348057798E-05	0.0284191354	0.0258072318
gBR09	PXR1	0.0000919	0.02842559	0.0258130932
SEC11	MUC1	9.19419431122931E-05	0.0284371058	0.0258235506
MTL1	PGD1	9.19499476214916E-05	0.0284381124	0.0258244647
YBR139W	USO1	0.000091978	0.0284453122	0.0258310028
gCR02	PSD1	9.20106335980631E-05	0.0284517117	0.0258368141
RGA1	COX13	9.20119380478668E-05	0.0284517117	0.0258368141
BNA2	URA8	9.2012927507387E-05	0.0284517117	0.0258368141
YNL046W	MRPS9	9.20455257354851E-05	0.0284588598	0.0258433053
RPI1	ZRT3	9.20455515753839E-05	0.0284588598	0.0258433053
VPS9	PLB2	9.20514196382744E-05	0.0284592044	0.0258436182
YOL099C	IRC6	9.20564092009719E-05	0.0284592774	0.0258436845
NBR016C	n2	9.20764988870191E-05	0.0284640183	0.0258479897
RPB5	ROT1	9.20881051885839E-05	0.0284657538	0.0258495657
AIM10	SSA4	9.2091622006324E-05	0.0284657538	0.0258495657
REX4	ERS1	9.2101066166231E-05	0.0284672033	0.0258508819
AGP2	SYN8	0.000092106	0.0284672644	0.0258509374
SMY2	VTS1	0.000092129	0.0284728962	0.0258560517
ROT2	YKR023W	9.21406601124552E-05	0.0284744396	0.0258574532
MUM2	YAE1	9.21435021856382E-05	0.0284744396	0.0258574532
TAF5	DFM1	9.21551446753939E-05	0.0284765675	0.0258593856
PCH2	MGR1	9.21675314062495E-05	0.0284789253	0.0258615266
AGP1	VHR1	9.21735245260817E-05	0.0284793072	0.0258618735
SCO1	YJR124C	9.21799105922629E-05	0.0284798106	0.0258623306
NOR010W	ATP5	9.22345267489708E-05	0.0284939166	0.0258751402
RTC2	URA7	9.2237932264783E-05	0.0284939166	0.0258751402
NHR005W	n2	9.22398451340805E-05	0.0284939166	0.0258751402
NBR031C	PWP1	9.22458173390426E-05	0.0284942913	0.0258754804
YBR138C	IMD3	9.22706658305686E-05	0.0285001364	0.0258807883
gER03	NMA1	9.22742604950509E-05	0.0285001364	0.0258807883
CBP1	AAD6	9.23011167892482E-05	0.0285069607	0.0258869853
LEU2	GPR1	9.23183593760862E-05	0.0285108152	0.0258904856
RTN1	IMG1	9.23466039802914E-05	0.028518067	0.0258970709
NCR015C	QDR2	9.23689322954419E-05	0.028523491	0.0259019965
YOR121C	AIM30	9.24059489392986E-05	0.0285322135	0.0259099173
NEL011C	YLR132C	9.24152556508529E-05	0.0285322135	0.0259099173
URA5	ZAP1	9.24165463365452E-05	0.0285322135	0.0259099173
YMR316C	YOR238W	9.24201814908456E-05	0.0285322135	0.0259099173
POC4	GLR1	0.000092421	0.0285322135	0.0259099173
MTR4	TPO5	9.24337037029175E-05	0.0285346618	0.0259121406
PYC2	SDA1	9.24599146208083E-05	0.0285412816	0.0259181519
NOR010W	AIM30	9.24787318554968E-05	0.0285456184	0.0259220902
YCL026C	AGA2	9.24984906046302E-05	0.0285480073	0.0259242595
YGL226C	MSP1	9.25023341272089E-05	0.0285480073	0.0259242595
NCR015C	TMT1	9.25033575653133E-05	0.0285480073	0.0259242595
SLX1	KIN4	9.25055442360045E-05	0.0285480073	0.0259242595
YBR225W	DBP2	9.25104388753454E-05	0.0285480462	0.0259242949
YCL022C	ABD1	9.25243688060009E-05	0.0285507895	0.025926786
PYC2	DRS1	9.25288660714791E-05	0.0285507895	0.025926786
YBR174C	DRS1	9.25348440439465E-05	0.0285511626	0.0259271248
NML011W	SPC2	9.25616737086426E-05	0.0285566211	0.0259320817
NER037W	YAR053W	9.25659365220109E-05	0.0285566211	0.0259320817
YSC84	ERG11	9.25668443928454E-05	0.0285566211	0.0259320817
NBR024W	NNT1	0.000092604	0.0285666128	0.0259411551
gER03	KEL1	9.26216144670424E-05	0.0285705731	0.0259447514
YBR226C	JJJ1	0.000092661	0.0285812509	0.0259544478
URA5	XDJ1	9.26696182658728E-05	0.0285824354	0.0259555235
SMY2	PMA1	9.26749230664767E-05	0.0285825991	0.0259556721
gBR08	FMP21	9.27108781187638E-05	0.0285922153	0.0259644046
ASG7	NUP145	9.27197308852205E-05	0.0285934726	0.0259655463
YOL118C	GIP3	9.27246578311255E-05	0.0285935192	0.0259655886
YLR334C	YJL225C	9.27402072730516E-05	0.0285968413	0.0259686053
NLR076W	RRN5	9.27524906467352E-05	0.0285991559	0.0259707073
AIM10	YNR029C	9.27875786923591E-05	0.0286077209	0.025978485
MED8	TRF5	9.27898248992026E-05	0.0286077209	0.025978485
gER03	YDL129W	9.27956281324948E-05	0.0286080368	0.025978772
SFP1	GCD1	0.000092804	0.0286091356	0.0259797697
YLR236C	BNA5	9.28152290186433E-05	0.028611133	0.0259815836
MET22	APC1	9.28555351591306E-05	0.028620631	0.0259902086
YIL054W	FLC2	9.28556014151188E-05	0.028620631	0.0259902086
gCL01	EPT1	9.28693113438379E-05	0.0286233831	0.0259927078
NOR061W	YGR259C	9.28768402564912E-05	0.02862423	0.0259934769
RFC4	FPR3	9.2896769877761E-05	0.0286288985	0.0259977163
TYR1	YIL091C	9.29299040606564E-05	0.0286376357	0.0260056505
YOL073C	APC1	9.2992260211747E-05	0.0286553766	0.0260217609
NBR031C	MSH6	9.30522406596347E-05	0.0286723837	0.026037205
MLF3	ALR1	9.30574621976875E-05	0.028672517	0.026037326
CDC9	YDL156W	9.30726507564528E-05	0.0286757211	0.0260402356
NGL041C	NOP9	9.30905024182507E-05	0.0286797453	0.0260438899
LHS1	YRF1-6	9.31026729458811E-05	0.0286820189	0.0260459546
gML01	FAR1	9.31099353088837E-05	0.0286827803	0.026046646
NPL010C	CWC27	9.31292362267031E-05	0.0286872499	0.0260507048
MMF1	NEO1	9.31438324850538E-05	0.0286891058	0.0260523902
TAT1	YPL247C	9.31448450263289E-05	0.0286891058	0.0260523902
RIM2	SGD1	9.31903743314037E-05	0.0287016525	0.0260637838
YBR162W	MPM1	9.3201779957235E-05	0.0287036887	0.0260656328
YAR002C	ADE1	0.000093214	0.0287038758	0.0260658027
SMY2	DRS1	9.32155105782406E-05	0.0287038758	0.0260658027
NOL019C	OCA2	9.32215648533533E-05	0.0287038758	0.0260658027
NOL020W	OCA2	9.32215648533533E-05	0.0287038758	0.0260658027
IRC10	PEX15	9.32293707974209E-05	0.0287048031	0.0260666447
IMG1	VPS1	9.32375616148483E-05	0.0287058487	0.0260675943
MUM2	POL2	9.32638314532319E-05	0.0287124601	0.0260735981
YDL228C	UGA4	9.32732034514484E-05	0.0287138689	0.0260748774
PCS60	UTP6	9.3282554353764E-05	0.028715271	0.0260761506
YBR174C	CUE4	9.32939115594905E-05	0.0287172906	0.0260779846
RPB5	NOP58	9.33110863075848E-05	0.0287198843	0.02608034
NER037W	YIR007W	9.33119320331478E-05	0.0287198843	0.02608034
YBR225W	ASG1	9.33557358826111E-05	0.0287318894	0.0260912417
NLR126C	YJL225C	9.33693670712832E-05	0.0287346075	0.02609371
NBR043C	YFR017C	9.33932289331141E-05	0.0287404737	0.026099037
YOR131C	MGM101	9.34023979636084E-05	0.028741818	0.0261002577
NBR016C	TIF3	9.34235004273358E-05	0.0287468341	0.0261048129
TAT1	ILM1	9.34407212619373E-05	0.0287497463	0.0261074574
YBR064W	YOR021C	9.34425687191056E-05	0.0287497463	0.0261074574
RTC2	PUS2	9.34909394156048E-05	0.0287631505	0.0261196297
NBR051C	DUS3	9.35025072165225E-05	0.0287647577	0.0261210892
gPL05	SSE1	9.3505772444745E-05	0.0287647577	0.0261210892
ROT2	SGD1	9.35383566825102E-05	0.028773303	0.0261288491
NBR038W	NMD3	9.35439393649247E-05	0.0287735419	0.026129066
NOR011W	ELG1	9.3577133228064E-05	0.028781756	0.0261365252
RIM2	YET2	9.35802584608622E-05	0.028781756	0.0261365252
SIP2	BUD13	9.36072275372269E-05	0.0287826576	0.026137344
SPT16	BUD13	9.36072275372269E-05	0.0287826576	0.026137344
POX1	BUD13	9.36072275372269E-05	0.0287826576	0.026137344
NGL032C	BUD13	9.36072275372269E-05	0.0287826576	0.026137344
NGL034W	BUD13	9.36072275372269E-05	0.0287826576	0.026137344
YCL022C	SKP2	9.36184328730979E-05	0.0287844568	0.0261389778
CUL3	AML1	9.36226946244463E-05	0.0287844568	0.0261389778
COG6	NAM9	9.36577564515884E-05	0.028793758	0.0261474242
ZRG8	IRR1	9.36651277064278E-05	0.0287945371	0.0261481317
MED8	DDR48	9.36699097696279E-05	0.0287945371	0.0261481317
CRZ1	MRPS8	9.37334198250543E-05	0.028812581	0.0261645172
RPN13	STP3	9.37788099566635E-05	0.0288222604	0.026173307
NJR015C	YJR114W	9.37793527718976E-05	0.0288222604	0.026173307
YOL073C	ERG27	0.000093781	0.0288222604	0.026173307
YBR139W	LTV1	9.37841652806409E-05	0.0288222604	0.026173307
gLR07	LAC1	9.38678754985133E-05	0.0288465059	0.0261953242
YBR064W	PNO1	9.38962954828739E-05	0.0288537586	0.0262019103
NBR031C	IKI3	9.39137537949998E-05	0.0288576422	0.026205437
TAT1	YNL022C	9.39251172306745E-05	0.0288596528	0.0262072628
SMY2	PHO2	9.39642446047468E-05	0.0288701935	0.0262168347
EXO5	BUD20	9.39762961004014E-05	0.028870933	0.0262175063
UBS1	BUD20	9.39762961004014E-05	0.028870933	0.0262175063
NTC20	DBP2	9.4012074419183E-05	0.0288804427	0.026226142
PCS60	GTR2	9.40174030469227E-05	0.0288805978	0.0262262828
NTC20	SCS3	9.40353837280182E-05	0.0288846391	0.0262299527
ECM31	YIL152W	9.40466186963753E-05	0.0288866081	0.0262317407
RIF2	GAB1	9.40687623334256E-05	0.0288919273	0.026236571
YLR311C	SHE2	9.41217746144676E-05	0.0289067264	0.02625001
YLR460C	HMG2	9.41403181992317E-05	0.0289109384	0.0262538349
YML083C	MCT1	9.41929149886079E-05	0.0289256074	0.0262671557
NNL035W	VAM7	9.42104393454061E-05	0.028929505	0.0262706952
PCS60	NMD3	9.42207576711317E-05	0.0289296591	0.026270835
RPN13	FMP40	9.42227963137724E-05	0.0289296591	0.026270835
NBR016C	YGL102C	9.42254371072633E-05	0.0289296591	0.026270835
YOR102W	ATP2	9.42654844525597E-05	0.028938038	0.0262784439
NOR041W	APD1	9.42672281939748E-05	0.028938038	0.0262784439
NOR043C	APD1	9.42672281939748E-05	0.028938038	0.0262784439
NNL012W	ESC1	9.42856763572998E-05	0.0289422172	0.026282239
MTG2	SPS18	9.42917329870276E-05	0.0289425924	0.0262825797
gBR09	DDR48	9.42978413140194E-05	0.0289429835	0.0262829348
gEL02	ALG8	9.43043047304338E-05	0.0289434835	0.0262833889
YML084W	PMT4	9.43284280105098E-05	0.0289494033	0.0262887646
PEP8	NUT1	9.43343441716306E-05	0.0289497349	0.0262890658
RRP12	SPP41	0.000094349	0.0289512686	0.0262904585
RQC2	SPP41	0.000094349	0.0289512686	0.0262904585
TSR3	HIR2	9.44018889640338E-05	0.0289660091	0.0263038443
SMY2	YAH1	9.44207855571561E-05	0.0289703226	0.0263077613
PAM1	RFA3	9.4428856072976E-05	0.028971314	0.0263086616
RPB5	PNC1	9.44342854729301E-05	0.0289714952	0.0263088261
RIM2	PPH3	9.44707945403227E-05	0.0289812107	0.0263176487
SAM50	MRPL31	9.44902194561252E-05	0.0289856845	0.0263217114
SSM4	YIL089W	9.45396602959161E-05	0.0289993651	0.0263341346
HRP1	YPR091C	9.4557503472271E-05	0.0290033524	0.0263377554
RTC2	EBP2	9.45772596812281E-05	0.029007926	0.0263419087
MDY2	n2	0.000094591	0.0290106661	0.026344397
MDM10	ADE1	9.46039329709758E-05	0.0290116483	0.0263452889
NAL001C	ADE1	9.46039329709758E-05	0.0290116483	0.0263452889
ILV6	HPA3	9.46303409449384E-05	0.0290180598	0.0263511112
gGL01	PLB3	9.46364159602077E-05	0.0290180598	0.0263511112
IRA1	CGR1	9.46393809735708E-05	0.0290180598	0.0263511112
ZRG8	EDC2	9.46585417502168E-05	0.0290224485	0.0263550965
CTF3	SAD1	9.4685534426154E-05	0.0290292379	0.0263612619
MIG3	RAD33	0.000094702	0.0290327892	0.0263644868
NIT3	YIL054W	9.47105559857667E-05	0.0290339356	0.0263655278
FTH1	CLN2	9.47239199589871E-05	0.0290365456	0.026367898
YOL118C	YNR036C	9.4733864195416E-05	0.0290381071	0.026369316
YFT2	TRP1	9.47754405449188E-05	0.0290493639	0.0263795382
NBR016C	RPL1B	9.47990571641641E-05	0.0290551151	0.0263847608
PHO3	IKI1	9.48204038235245E-05	0.0290589151	0.0263882116
STE6	YKL202W	9.48211628351751E-05	0.0290589151	0.0263882116
NML007W	ALT2	9.48363965812678E-05	0.029062096	0.0263911002
SIS1	HOM6	9.48536570016851E-05	0.0290650322	0.0263937665
COG6	MRPL36	9.48556873207739E-05	0.0290650322	0.0263937665
YBR225W	ROK1	9.49338412632975E-05	0.0290863041	0.0264130833
YNL115C	APE2	9.49348259739378E-05	0.0290863041	0.0264130833
NCR015C	PYC1	9.49651898970888E-05	0.0290941181	0.0264201792
ALK2	UGA2	9.50347088422295E-05	0.0291139266	0.0264381671
CIS3	PEX4	9.50712472764862E-05	0.0291230351	0.0264464386
NBR016C	TIF5	9.50741700637349E-05	0.0291230351	0.0264464386
KTR4	DUS3	9.51207638542586E-05	0.029135817	0.0264580457
NER037W	KEL1	9.51695542721197E-05	0.0291492704	0.0264702626
TYR1	ELP3	9.51835043285699E-05	0.0291498242	0.0264707656
YLR326W	YHB1	9.51840549621694E-05	0.0291498242	0.0264707656
TYR1	SAP185	0.000095186	0.0291498242	0.0264707656
NEW1	YAR1	9.52024872698849E-05	0.0291533915	0.026474005
YOR131C	QCR8	0.000095252	0.0291669755	0.0264863405
YLR252W	IMH1	9.5256590207753E-05	0.0291669755	0.0264863405
YLR326W	FKS1	9.52786636862736E-05	0.0291705505	0.026489587
NHR001C	EDC3	0.00009528	0.0291705505	0.026489587
NLR121W	HEM13	9.52828827429852E-05	0.0291705505	0.026489587
YBR064W	VHS3	9.53016576474041E-05	0.0291748065	0.0264934518
MCM5	YKR051W	0.000095308	0.029175271	0.0264938736
MLF3	QRI7	9.53235059481943E-05	0.0291773548	0.0264957659
NNK1	LOT5	9.53246020423075E-05	0.0291773548	0.0264957659
URK1	ABP1	9.53621743488418E-05	0.0291859226	0.0265035463
MUM2	NIP7	9.5367234199463E-05	0.0291859226	0.0265035463
YBR162W	ZWF1	9.53685796101846E-05	0.0291859226	0.0265035463
RPB5	KEL3	9.53720932228751E-05	0.0291859226	0.0265035463
NOL004W	AIM10	9.54104416332945E-05	0.0291961657	0.026512848
gCR02	CFD1	9.54269103681828E-05	0.0291997128	0.026516069
ECO1	HIS2	9.54480872355567E-05	0.0292047001	0.026520598
DOT6	YNR029C	9.54681991725781E-05	0.029209361	0.0265248306
VHR1	KAR9	0.000095495	0.0292160645	0.0265309179
NLR126C	YEH1	9.55035004169676E-05	0.0292171756	0.0265319269
MDJ2	ZIM17	9.55142558994514E-05	0.0292189729	0.026533559
REX4	OAZ1	9.55233838051407E-05	0.0292197947	0.0265343053
RED1	YNL058C	9.55267034744754E-05	0.0292197947	0.0265343053
YOR102W	AIM13	9.55513259272122E-05	0.0292252529	0.0265392618
ARG2	SNX4	9.55543103598623E-05	0.0292252529	0.0265392618
NBR051C	SHR5	9.55964276735785E-05	0.0292366409	0.0265496032
NTC20	MUQ1	9.56036155510532E-05	0.0292373456	0.0265502432
YOR186W	LIP5	9.56121167221338E-05	0.0292384519	0.0265512478
RIM2	VTS1	9.56286669365099E-05	0.0292420194	0.0265544874
NBL009W	CIT3	9.56537171370092E-05	0.029247195	0.0265591874
YNL050C	YNL058C	9.56553626935266E-05	0.029247195	0.0265591874
VPS29	CHS1	9.56638390796615E-05	0.029248293	0.0265601845
RIB4	AIM31	9.57125646631769E-05	0.0292601212	0.0265709255
RFC2	p1	9.57126706342669E-05	0.0292601212	0.0265709255
PHO3	SOK2	9.57171878833243E-05	0.0292601212	0.0265709255
NTC20	MAK11	9.57332225988286E-05	0.0292613787	0.0265720674
YCL023C	RER1	9.57403579799881E-05	0.0292613787	0.0265720674
YLR281C	OYE2	9.57408512531291E-05	0.0292613787	0.0265720674
YLR282C	OYE2	9.57408512531291E-05	0.0292613787	0.0265720674
UBC12	YLR050C	0.00009577	0.029268806	0.0265788121
PYC2	ELP3	9.57914010603348E-05	0.0292738395	0.026583383
ILV6	MET2	9.58420654122415E-05	0.0292878275	0.0265960854
gBR07	PMA2	9.58702154067694E-05	0.029294322	0.0266019831
SLI15	PNO1	9.58731041026981E-05	0.029294322	0.0266019831
TAF5	LCB2	9.58849409463654E-05	0.0292964436	0.0266039097
NDI1	MCM3	9.58955573161265E-05	0.0292965545	0.0266040104
SSY5	ADK2	9.58996629901175E-05	0.0292965545	0.0266040104
YML079W	PLB2	0.0000959	0.0292965545	0.0266040104
NBR041W	SIL1	9.59308209582183E-05	0.0293044796	0.0266112071
MUM2	PCH2	9.59601949865651E-05	0.0293119571	0.0266179974
EXO5	PEX29	9.59718413990271E-05	0.0293125235	0.0266185117
UBS1	PEX29	9.59718413990271E-05	0.0293125235	0.0266185117
IRC14	COX4	9.59935474239106E-05	0.0293176575	0.0266231739
YBR075W	ADH2	9.60084033066932E-05	0.0293202469	0.0266255253
STE23	OPY2	9.6011820261085E-05	0.0293202469	0.0266255253
HAL9	TPS2	9.60253373228484E-05	0.0293216418	0.026626792
AGP1	DMA2	9.60261831649912E-05	0.0293216418	0.026626792
gBR08	NOP12	9.60745156801721E-05	0.029334904	0.0266388353
TRM7	YML018C	9.60885860842528E-05	0.029337704	0.026641378
PEX32	PMA2	9.61603243132909E-05	0.0293581099	0.0266599084
ASG7	SWI4	9.61859024103104E-05	0.0293644216	0.02666564
NNL035W	YPR099C	9.62703365788303E-05	0.0293859074	0.0266851512
RTC2	ERG24	9.62706919716125E-05	0.0293859074	0.0266851512
NHL003W	YBL101W-B	9.6273818416839E-05	0.0293859074	0.0266851512
NDJ1	YGR226C	9.62759144401877E-05	0.0293859074	0.0266851512
SLI15	PIN3	9.6331340981075E-05	0.0294010601	0.0266989112
gBR07	ARC18	9.63353802797294E-05	0.0294010601	0.0266989112
COA1	YIL151C	9.63501220567388E-05	0.0294040603	0.0267016357
RPB5	MES1	9.63834967449313E-05	0.0294127463	0.0267095234
NGL041C	LCP5	9.63897822539536E-05	0.0294131652	0.0267099038
RPB5	BCP1	9.64067681684769E-05	0.0294168491	0.0267132491
RAD51	YER034W	9.64397492388078E-05	0.029425413	0.0267210259
YCL023C	ABD1	9.6449214386543E-05	0.0294268013	0.0267222866
YOL073C	n2	9.6465887959602E-05	0.0294303886	0.0267255443
SDH3	SHE2	9.64856222870977E-05	0.0294349094	0.0267296495
NNL038C	DHH1	9.64947670926715E-05	0.0294361992	0.0267308208
YBR162W	PWP2	9.65293851561762E-05	0.0294424592	0.0267365055
STI1	TGL5	0.00009653	0.0294424592	0.0267365055
ULI1	HIS2	9.65321850541649E-05	0.0294424592	0.0267365055
TIP1	PCH2	9.65454530044182E-05	0.0294424592	0.0267365055
NOL019C	ADH2	0.000096552	0.0294424592	0.0267365055
NOL020W	ADH2	0.000096552	0.0294424592	0.0267365055
NNL035W	ALE1	9.65535614587893E-05	0.0294424592	0.0267365055
RPB5	NOG1	9.65546296544604E-05	0.0294424592	0.0267365055
ECM31	HSP42	9.65742920318802E-05	0.0294446177	0.0267384656
NGL041C	RRP46	9.65776611971695E-05	0.0294446177	0.0267384656
MCM7	IGO1	9.65805633263357E-05	0.0294446177	0.0267384656
NHR001C	TAF9	9.65813805916705E-05	0.0294446177	0.0267384656
NNL035W	RAD1	9.6586946212925E-05	0.0294448151	0.0267386448
HAL9	GIP2	9.65983305774877E-05	0.0294467862	0.0267404348
BUD3	YEL045C	9.66143348995492E-05	0.0294501654	0.0267435035
REX4	MTD1	9.66198194631645E-05	0.0294503378	0.02674366
NBR043C	YPL136W	9.66710762991246E-05	0.0294644612	0.0267564853
COG6	MRPL1	9.66840522655035E-05	0.029466916	0.0267587145
YLR232W	ALG6	9.66912287869983E-05	0.0294676031	0.0267593385
URA3	CMC1	0.000096727	0.0294757267	0.0267667154
TYR1	YLR287C	9.67277308593024E-05	0.0294757267	0.0267667154
ACO2	CCR4	9.67615983507694E-05	0.0294845463	0.0267747245
YGL235W	NOP14	9.67681629631762E-05	0.029485046	0.0267751783
APQ12	CBR1	9.67848104777851E-05	0.0294886177	0.0267784217
PCH2	MTM1	9.68562537441708E-05	0.0295088835	0.0267968249
PGI1	MTM1	9.68628958291451E-05	0.0295094054	0.0267972989
NML001C	YAR073W	9.68725959976338E-05	0.0295108589	0.0267986188
RFT1	SLA1	9.69023403398955E-05	0.0295184181	0.0268054833
SUN4	MMR1	9.69314950126896E-05	0.029525797	0.026812184
EXO5	KAR1	9.69475708235878E-05	0.0295276891	0.0268139022
UBS1	KAR1	9.69475708235878E-05	0.0295276891	0.0268139022
NBR041W	YLR352W	0.000096961	0.0295302732	0.0268162488
ATE1	AML1	9.69731809808881E-05	0.0295324845	0.0268182569
BUD3	YDR112W	9.69917795088988E-05	0.0295366461	0.026822036
SCO1	EMI5	0.000097023	0.0295446583	0.0268293118
SUN4	CHC1	9.70297761030042E-05	0.0295452115	0.0268298142
ROT2	TRM11	0.000097037	0.0295458941	0.0268304341
NDJ1	GDB1	9.70500669029733E-05	0.0295483844	0.0268326954
RIM2	DBP3	9.70664882172011E-05	0.0295518812	0.0268358709
SLI15	RMT2	9.70990700387773E-05	0.0295602976	0.0268435137
TAT1	YHR159W	9.71278917482906E-05	0.0295665195	0.0268491639
YLR455W	AAD6	9.71316067900652E-05	0.0295665195	0.0268491639
PCH2	KAP122	9.71343232063469E-05	0.0295665195	0.0268491639
VPS9	XDJ1	9.71633251023777E-05	0.0295738438	0.026855815
IMD4	YAR075W	9.71698498828003E-05	0.0295743262	0.0268562531
MRS2	UGA4	9.7184888764198E-05	0.0295773998	0.0268590442
RTC2	ISF1	9.72237962537513E-05	0.0295877369	0.0268684312
ROT2	NOP14	9.72568460049554E-05	0.0295950803	0.0268750997
SLM4	POL2	9.72578125757267E-05	0.0295950803	0.0268750997
YJL218W	THI11	9.72786575744687E-05	0.0295954065	0.0268753959
REE1	THI11	9.72786575744687E-05	0.0295954065	0.0268753959
IMA5	THI11	9.72786575744687E-05	0.0295954065	0.0268753959
YJL215C	THI11	9.72786575744687E-05	0.0295954065	0.0268753959
YCR041W	PFA5	9.72904797135391E-05	0.0295961652	0.0268760849
RTC2	ROT1	0.000097291	0.0295961652	0.0268760849
PPZ1	YAR073W	9.73006290060948E-05	0.029596403	0.0268763008
gBR09	BUD27	9.73017067979499E-05	0.029596403	0.0268763008
RPN13	YBL108W	9.73296620214616E-05	0.0296030988	0.0268823813
MED8	YOR287C	9.73357938925273E-05	0.0296030988	0.0268823813
SPO11	FUS3	9.73385539027241E-05	0.0296030988	0.0268823813
MRS2	MPC54	0.00009737	0.0296100411	0.0268886855
PEX32	CGR1	9.7371272416918E-05	0.0296100411	0.0268886855
YBR137W	CNS1	9.73830977542868E-05	0.0296121331	0.0268905852
NOR062C	MPC54	9.73907672951859E-05	0.0296129612	0.0268913372
PLP2	DAL1	9.74128882667089E-05	0.0296181831	0.0268960792
gBR09	DUS3	9.74190756433702E-05	0.0296183732	0.0268962518
gOL02	BUD17	9.74342476176091E-05	0.0296183732	0.0268962518
HSP26	MEU1	9.74353788513031E-05	0.0296183732	0.0268962518
NBR041W	VTS1	9.74373525571166E-05	0.0296183732	0.0268962518
RPB5	ZWF1	9.74382489263388E-05	0.0296183732	0.0268962518
YGR012W	ALK1	0.000097444	0.0296186141	0.0268964706
KTI12	PRI2	9.74557002096702E-05	0.0296206701	0.0268983376
IRA2	AAT1	9.74723744783257E-05	0.0296242341	0.0269015741
NLR126C	YRF1-4	9.75076469660252E-05	0.02963345	0.026909943
NDJ1	IRC6	9.75204318495745E-05	0.0296358311	0.0269121052
RTC2	ATC1	9.75459174035233E-05	0.0296420714	0.026917772
TAT1	CYS3	9.75573585996227E-05	0.0296433657	0.0269189474
MCM7	YBR204C	9.75600793746188E-05	0.0296433657	0.0269189474
FZF1	VPS73	9.75720670982643E-05	0.0296455026	0.0269208878
YRB2	NEO1	0.000097577	0.0296455026	0.0269208878
NHR001C	UME1	9.75825285026968E-05	0.0296456732	0.0269210428
SAK1	YMR181C	9.76000552812127E-05	0.0296467814	0.0269220491
YLR317W	NAT4	9.76059434422771E-05	0.0296467814	0.0269220491
REX4	AQY1	9.76072636782134E-05	0.0296467814	0.0269220491
TGL2	YDR049W	9.76187440062527E-05	0.0296467814	0.0269220491
YLR236C	POP2	0.000097619	0.0296467814	0.0269220491
NOL019C	TSL1	9.76208392881925E-05	0.0296467814	0.0269220491
NOL020W	TSL1	9.76208392881925E-05	0.0296467814	0.0269220491
NBR051C	TBS1	9.76382543092377E-05	0.0296505662	0.0269254861
REX4	ECM32	0.000097653	0.0296517509	0.0269265619
YBR064W	NSA1	9.76561553869815E-05	0.0296517509	0.0269265619
YML108W	ACO1	0.000097657	0.0296517509	0.0269265619
SRL3	HBS1	0.00009769	0.0296585005	0.0269326911
LEU2	SIR2	9.76932981367048E-05	0.0296585005	0.0269326911
ATH1	PSY2	9.76941045288088E-05	0.0296585005	0.0269326911
NAL009W	YDR056C	9.76993455756847E-05	0.0296585877	0.0269327703
MNN5	MAK31	9.77046937660008E-05	0.0296587074	0.026932879
RPB5	HIR3	9.77471169513857E-05	0.0296698023	0.0269429543
AMA1	SOL4	9.77511552728853E-05	0.0296698023	0.0269429543
ECM31	RSA4	9.77561499696893E-05	0.0296698142	0.026942965
COG6	CBP3	9.77614620416223E-05	0.0296699223	0.0269430633
MPD2	n1	0.000097767	0.0296701041	0.0269432283
NER009C	PDH1	9.77968244783763E-05	0.0296776457	0.0269500768
STE50	SUL2	9.78038614830709E-05	0.0296782769	0.02695065
YNL050C	GCN1	9.78235443758671E-05	0.0296827452	0.0269547076
YIM1	YMR151W	9.78365526852829E-05	0.0296836835	0.0269555597
ATG16	YMR151W	9.78365526852829E-05	0.0296836835	0.0269555597
SAK1	TIR2	9.79028191468057E-05	0.0297022835	0.0269724503
OCH1	RIM8	9.7945370719726E-05	0.0297136874	0.026982806
TIP1	MID1	0.000097978	0.0297220799	0.0269904272
YBR162W	SNF6	9.80016382582001E-05	0.0297240733	0.0269922374
YBR064W	HAP2	9.80072626552742E-05	0.0297240733	0.0269922374
NBR019W	p2	9.80073535505272E-05	0.0297240733	0.0269922374
YLR232W	YLR232W	9.80089173300485E-05	0.0297240733	0.0269922374
gER03	MGA1	9.80093944529301E-05	0.0297240733	0.0269922374
CGI121	YAR075W	9.80197259352109E-05	0.0297257008	0.0269937153
YBR139W	SRB5	9.80372380865574E-05	0.0297295057	0.0269971705
AGP2	JJJ1	9.80644906005418E-05	0.0297362638	0.0270033075
