Interactor (sys)	Interactor (std)	Function
YMR174C	PAI3	unknown
YMR175W	SIP18	unknown
YMR176W	ECM5	unknown
YMR177W	MMT1	drug/ion transport;metabolism/mitochondria
YMR178W	YMR178W	unknown
YMR179W	SPT21	chromatin/transcription
YMR180C	CTL1	RNA processing
YMR181C	YMR181C	unknown
YMR182C	RGM1	unknown
YMR183C	SSO2	Golgi/endosome/vacuole/sorting
YMR186W	HSC82	unknown
YMR187C	YMR187C	unknown
YMR189W	GCV2	metabolism/mitochondria
YMR190C	SGS1	DNA replication/repair/HR/cohesion
YMR191W	SPG5	unknown
YMR192W	GYL1	cell polarity/morphogenesis;ER<->Golgi traffic
YMR193C-A	YMR193C-A	ribosome/translation
YMR194C-A	YMR194C-A	unknown
YMR194W	RPL36A	ribosome/translation
YMR195W	ICY1	unknown
YMR196W	YMR196W	unknown
YMR198W	CIK1	chromosome segregation/kinetochore/spindle/microtubule
YMR199W	CLN1	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YMR201C	RAD14	DNA replication/repair/HR/cohesion
YMR202W	ERG2	lipid/sterol/fatty acid biosynth
YMR205C	PFK2	metabolism/mitochondria
YMR206W	YMR206W	unknown
YMR207C	HFA1	lipid/sterol/fatty acid biosynth
YMR208W_damp	ERG12_damp	lipid/sterol/fatty acid biosynth
YMR209C	YMR209C	unknown
YMR210W	YMR210W	lipid/sterol/fatty acid biosynth
YMR214W	SCJ1	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YMR215W	GAS3	protein folding/protein glycosylation/cell wall biogenesis&integrity
YMR216C	SKY1	drug/ion transport
YMR219W	ESC1	chromatin/transcription
YMR220W_tsq320	erg8-1	lipid/sterol/fatty acid biosynth
YMR221C	FMP42	unknown
YMR222C	FSH2	amino acid biosynth&transport/nitrogen utilization
YMR223W	UBP8	chromatin/transcription
YMR224C	MRE11	DNA replication/repair/HR/cohesion
YMR225C	MRPL44	metabolism/mitochondria;ribosome/translation
YMR226C	TMA29	metabolism/mitochondria
YMR227C_tsq638	taf7-ts1	chromatin/transcription
YMR230W	RPS10B	ribosome/translation
YMR232W	FUS2	cell polarity/morphogenesis
YMR233W	TRI1	unknown
YMR234W	RNH1	unknown
YMR235C_tsq172	rna1-S116F	nuclear-cytoplasic transport
YMR236W_tsq730	taf9-ts2	chromatin/transcription
YMR237W	BCH1	protein folding/protein glycosylation/cell wall biogenesis&integrity;Golgi/endosome/vacuole/sorting
YMR238W	DFG5	protein folding/protein glycosylation/cell wall biogenesis&integrity
YMR241W	YHM2	drug/ion transport
YMR243C	ZRC1	drug/ion transport
YMR244C-A	YMR244C-A	unknown
YMR244W	YMR244W	unknown
YMR245W	YMR245W	metabolism/mitochondria
YMR246W	FAA4	lipid/sterol/fatty acid biosynth
YMR247C	RKR1	unknown
YMR250W	GAD1	metabolism/mitochondria
YMR251W	GTO3	metabolism/mitochondria
YMR251W-A	HOR7	unknown
YMR252C	YMR252C	unknown
YMR253C	YMR253C	nuclear-cytoplasic transport
YMR254C	YMR254C	unknown
YMR255W	GFD1	nuclear-cytoplasic transport
YMR256C	COX7	metabolism/mitochondria
YMR258C	YMR258C	unknown
YMR259C	YMR259C	unknown
YMR261C	TPS3	metabolism/mitochondria
YMR262W	YMR262W	unknown
YMR263W	SAP30	chromatin/transcription
YMR264W	CUE1	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YMR265C	YMR265C	unknown
YMR266W	RSN1	unknown
YMR269W	TMA23	unknown
YMR271C	URA10	metabolism/mitochondria
YMR272C	SCS7	lipid/sterol/fatty acid biosynth
YMR273C	ZDS1	G1/S and G2/M cell cycle progression/meiosis;chromosome segregation/kinetochore/spindle/microtubule
YMR274C	RCE1	unknown
YMR275C	BUL1	unknown
YMR276W	DSK2	protein degradation/proteosome;chromosome segregation/kinetochore/spindle/microtubule
YMR278W	PGM3	metabolism/mitochondria
YMR279C	YMR279C	unknown
YMR280C	CAT8	metabolism/mitochondria;chromatin/transcription
YMR282C	AEP2	metabolism/mitochondria;ribosome/translation
YMR283C	RIT1	ribosome/translation
YMR284W	YKU70	DNA replication/repair/HR/cohesion
YMR285C	NGL2	ribosome/translation;RNA processing
YMR289W	ABZ2	metabolism/mitochondria
YMR291W	YMR291W	unknown
YMR292W	GOT1	ER<->Golgi traffic
YMR294W	JNM1	chromosome segregation/kinetochore/spindle/microtubule
YMR294W-A	YMR294W-A	unknown
YMR295C	IBI2	unknown
YMR296C_tsq600	lcb1-5	lipid/sterol/fatty acid biosynth;signaling/stress response
YMR297W	PRC1	unknown
YMR299C	DYN3	chromosome segregation/kinetochore/spindle/microtubule
YMR300C	ADE4	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YMR302C	YME2	metabolism/mitochondria
YMR303C	ADH2	metabolism/mitochondria
YMR304C-A	YMR304C-A	unknown
YMR304W	UBP15	unknown
YMR305C	SCW10	protein folding/protein glycosylation/cell wall biogenesis&integrity
YMR306C-A	YMR306C-A	unknown
YMR306W	FKS3	protein folding/protein glycosylation/cell wall biogenesis&integrity;G1/S and G2/M cell cycle progression/meiosis
YMR307W	GAS1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YMR308C_tsq683	pse1-41	nuclear-cytoplasic transport
YMR310C	YMR310C	unknown
YMR311C	GLC8	metabolism/mitochondria;chromosome segregation/kinetochore/spindle/microtubule
YMR312W	ELP6	ribosome/translation
YMR313C	TGL3	metabolism/mitochondria
YMR315W	YMR315W	unknown
YMR316C-A	YMR316C-A	unknown
YMR316C-B	YMR316C-B	unknown
YMR316W	DIA1	unknown
YMR317W	YMR317W	unknown
YMR318C	ADH6	metabolism/mitochondria
YMR319C	FET4	drug/ion transport
YMR320W	YMR320W	unknown
YMR322C	SNO4	unknown
YMR326C	YMR326C	unknown
YNL001W	DOM34	RNA processing
YNL002C_damp	RLP7_damp	ribosome/translation;RNA processing
YNL003C	PET8	metabolism/mitochondria
YNL004W	HRB1	nuclear-cytoplasic transport;RNA processing
YNL006W_tsq467	lst8-15	amino acid biosynth&transport/nitrogen utilization
YNL008C	ASI3	amino acid biosynth&transport/nitrogen utilization
YNL009W	IDP3	metabolism/mitochondria
YNL010W	YNL010W	unknown
YNL011C	YNL011C	unknown
YNL012W	SPO1	G1/S and G2/M cell cycle progression/meiosis
YNL013C	YNL013C	unknown
YNL014W	HEF3	ribosome/translation
YNL015W	PBI2	Golgi/endosome/vacuole/sorting
YNL016W	PUB1	RNA processing
YNL020C	ARK1	cell polarity/morphogenesis
YNL021W	HDA1	chromatin/transcription
YNL022C	YNL022C	unknown
YNL023C	FAP1	signaling/stress response
YNL024C	YNL024C	unknown
YNL027W	CRZ1	signaling/stress response
YNL028W	YNL028W	unknown
YNL029C	KTR5	protein folding/protein glycosylation/cell wall biogenesis&integrity
YNL030W	HHF2	chromatin/transcription
YNL031C	HHT2	chromatin/transcription
YNL032W	SIW14	cell polarity/morphogenesis;Golgi/endosome/vacuole/sorting;signaling/stress response
YNL034W	YNL034W	unknown
YNL035C	YNL035C	unknown
YNL037C	IDH1	metabolism/mitochondria
YNL040W	YNL040W	unknown
YNL041C	COG6	Golgi/endosome/vacuole/sorting
YNL042W	BOP3	unknown
YNL043C	YNL043C	ER<->Golgi traffic
YNL044W	YIP3	ER<->Golgi traffic
YNL045W	YNL045W	unknown
YNL046W	YNL046W	unknown
YNL047C	SLM2	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response;DNA replication/repair/HR/cohesion
YNL049C	SFB2	ER<->Golgi traffic
YNL050C	YNL050C	unknown
YNL051W	COG5	Golgi/endosome/vacuole/sorting
YNL052W	COX5A	metabolism/mitochondria
YNL053W	MSG5	protein folding/protein glycosylation/cell wall biogenesis&integrity
YNL056W	OCA2	signaling/stress response
YNL057W	YNL057W	unknown
YNL058C	YNL058C	unknown
YNL061W_tsq624	nop2-3	ribosome/translation
YNL061W_tsq630	nop2-9	ribosome/translation
YNL063W	MTQ1	metabolism/mitochondria
YNL064C	YDJ1	unknown
YNL065W	AQR1	drug/ion transport;amino acid biosynth&transport/nitrogen utilization
YNL066W	SUN4	protein folding/protein glycosylation/cell wall biogenesis&integrity
YNL067W	RPL9B	ribosome/translation
YNL068C	FKH2	G1/S and G2/M cell cycle progression/meiosis;chromatin/transcription
YNL070W	TOM7	metabolism/mitochondria
YNL071W	LAT1	metabolism/mitochondria
YNL072W	RNH201	DNA replication/repair/HR/cohesion
YNL074C	MLF3	unknown
YNL076W	MKS1	metabolism/mitochondria;signaling/stress response;chromatin/transcription;amino acid biosynth&transport/nitrogen utilization
YNL077W	APJ1	unknown
YNL078W	NIS1	unknown
YNL079C	TPM1	cell polarity/morphogenesis
YNL080C	EOS1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YNL081C	SWS2	ribosome/translation
YNL082W	PMS1	DNA replication/repair/HR/cohesion
YNL083W	SAL1	drug/ion transport
YNL085W	MKT1	DNA replication/repair/HR/cohesion
YNL086W	YNL086W	unknown
YNL087W	TCB2	unknown
YNL089C	YNL089C	cell polarity/morphogenesis
YNL090W	RHO2	cell polarity/morphogenesis
YNL091W	NST1	unknown
YNL092W	YNL092W	unknown
YNL093W	YPT53	cell polarity/morphogenesis
YNL094W	APP1	cell polarity/morphogenesis
YNL095C	YNL095C	unknown
YNL096C	RPS7B	ribosome/translation
YNL097C	PHO23	chromatin/transcription
YNL098C	RAS2	signaling/stress response
YNL099C	OCA1	signaling/stress response
YNL100W	AIM37	unknown
YNL101W	AVT4	drug/ion transport;amino acid biosynth&transport/nitrogen utilization
YNL102W_tsq344	pol1-2	DNA replication/repair/HR/cohesion
YNL104C	LEU4	amino acid biosynth&transport/nitrogen utilization
YNL105W	YNL105W	unknown
YNL107W	YAF9	chromatin/transcription
YNL108C	YNL108C	unknown
YNL109W	YNL109W	unknown
YNL111C	CYB5	metabolism/mitochondria
YNL113W_damp	RPC19_damp	ribosome/translation;chromatin/transcription
YNL115C	YNL115C	unknown
YNL116W	DMA2	chromosome segregation/kinetochore/spindle/microtubule
YNL118C_tsq743	dcp2-7	RNA processing
YNL119W	NCS2	ribosome/translation
YNL120C	YNL120C	unknown
YNL121C	TOM70	metabolism/mitochondria
YNL122C	YNL122C	unknown
YNL123W	NMA111	lipid/sterol/fatty acid biosynth;signaling/stress response
YNL125C	ESBP6	drug/ion transport
YNL127W	FAR11	unknown
YNL128W	TEP1	lipid/sterol/fatty acid biosynth;signaling/stress response
YNL129W	NRK1	metabolism/mitochondria
YNL130C	CPT1	lipid/sterol/fatty acid biosynth
YNL134C	YNL134C	unknown
YNL135C	FPR1	unknown
YNL136W	EAF7	chromatin/transcription;DNA replication/repair/HR/cohesion
YNL140C	YNL140C	nuclear-cytoplasic transport
YNL141W	AAH1	metabolism/mitochondria
YNL142W	MEP2	drug/ion transport
YNL143C	YNL143C	unknown
YNL144C	YNL144C	unknown
YNL146W	YNL146W	unknown
YNL147W	LSM7	RNA processing
YNL153C	GIM3	chromosome segregation/kinetochore/spindle/microtubule
YNL154C	YCK2	cell polarity/morphogenesis
YNL155W	YNL155W	unknown
YNL156C	NSG2	lipid/sterol/fatty acid biosynth
YNL157W	IGO1	unknown
YNL159C	ASI2	amino acid biosynth&transport/nitrogen utilization
YNL161W_damp	CBK1_damp	cell polarity/morphogenesis
YNL163C	RIA1	ribosome/translation
YNL169C	PSD1	metabolism/mitochondria;lipid/sterol/fatty acid biosynth
YNL181W_damp	YNL181W_damp	unknown
YNL187W	SWT21	RNA processing
YNL197C	WHI3	G1/S and G2/M cell cycle progression/meiosis;nuclear-cytoplasic transport;RNA processing
YNL199C	GCR2	metabolism/mitochondria
YNL215W	IES2	chromatin/transcription
YNL216W_damp	RAP1_damp	unknown
YNL219C	ALG9	protein folding/protein glycosylation/cell wall biogenesis&integrity
YNL222W_tsq905	ssu72-2	ribosome/translation
YNL229C	URE2	amino acid biosynth&transport/nitrogen utilization
YNL230C	ELA1	chromatin/transcription
YNL231C	PDR16	drug/ion transport;lipid/sterol/fatty acid biosynth
YNL233W	BNI4	cell polarity/morphogenesis
YNL236W	SIN4	chromatin/transcription
YNL245C_damp	CWC25_damp	RNA processing
YNL250W	RAD50	DNA replication/repair/HR/cohesion
YNL251C_damp	NRD1_damp	ribosome/translation;RNA processing
YNL253W	TEX1	nuclear-cytoplasic transport;RNA processing
YNL255C	GIS2	signaling/stress response
YNL257C	SIP3	metabolism/mitochondria;signaling/stress response
YNL259C	ATX1	drug/ion transport
YNL263C_damp	YIF1_damp	ER<->Golgi traffic
YNL264C	PDR17	drug/ion transport;metabolism/mitochondria
YNL270C	ALP1	amino acid biosynth&transport/nitrogen utilization
YNL271C	BNI1	cell polarity/morphogenesis
YNL273W	TOF1	DNA replication/repair/HR/cohesion
YNL275W	BOR1	drug/ion transport
YNL281W	HCH1	unknown
YNL282W_damp	POP3_damp	ribosome/translation
YNL289W	PCL1	cell polarity/morphogenesis;G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YNL290W_damp	RFC3_damp	DNA replication/repair/HR/cohesion
YNL291C	MID1	drug/ion transport
YNL292W	PUS4	ribosome/translation
YNL298W	CLA4	cell polarity/morphogenesis
YNL299W	TRF5	ribosome/translation;RNA processing;DNA replication/repair/HR/cohesion
YNL300W	TOS6	unknown
YNL302C	RPS19B	ribosome/translation
YNL307C	MCK1	metabolism/mitochondria;G1/S and G2/M cell cycle progression/meiosis;signaling/stress response;DNA replication/repair/HR/cohesion;chromosome segregation/kinetochore/spindle/microtubule
YNL309W	STB1	G1/S and G2/M cell cycle progression/meiosis;chromatin/transcription
YNL313C_damp	YNL313C_damp	unknown
YNL314W	DAL82	chromatin/transcription;amino acid biosynth&transport/nitrogen utilization
YNL315C	ATP11	metabolism/mitochondria
YNL322C	KRE1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YNL328C	MDJ2	metabolism/mitochondria
YNL330C	RPD3	chromatin/transcription
YNR001C	CIT1	metabolism/mitochondria
YNR002C	ATO2	drug/ion transport;amino acid biosynth&transport/nitrogen utilization
YNR004W	YNR004W	unknown
YNR005C	YNR005C	unknown
YNR006W	VPS27	Golgi/endosome/vacuole/sorting
YNR008W	LRO1	lipid/sterol/fatty acid biosynth
YNR009W	NRM1	G1/S and G2/M cell cycle progression/meiosis;chromatin/transcription;DNA replication/repair/HR/cohesion
YNR010W	CSE2	chromatin/transcription
YNR012W	URK1	metabolism/mitochondria
YNR013C	PHO91	drug/ion transport
YNR014W	YNR014W	unknown
YNR015W	SMM1	ribosome/translation
YNR018W	AIM38	unknown
YNR019W	ARE2	lipid/sterol/fatty acid biosynth
YNR020C	ATP23	drug/ion transport;metabolism/mitochondria
YNR021W	YNR021W	unknown
YNR022C	MRPL50	metabolism/mitochondria;ribosome/translation
YNR024W	MPP6	unknown
YNR025C	YNR025C	unknown
YNR026C_tsq52	sec12-4	ER<->Golgi traffic
YNR027W	BUD17	unknown
YNR028W	CPR8	unknown
YNR029C	YNR029C	unknown
YNR030W	ALG12	protein folding/protein glycosylation/cell wall biogenesis&integrity
YNR031C	SSK2	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis;metabolism/mitochondria;signaling/stress response
YNR032C-A	HUB1	RNA processing
YNR032W	PPG1	lipid/sterol/fatty acid biosynth
YNR033W	ABZ1	metabolism/mitochondria
YNR034W	SOL1	unknown
YNR035C_tsq470	arc35-5	cell polarity/morphogenesis
YNR039C	ZRG17	drug/ion transport
YNR040W	YNR040W	unknown
YNR041C	COQ2	metabolism/mitochondria
YNR042W	YNR042W	unknown
YNR044W	AGA1	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis
YNR047W	FPK1	drug/ion transport;lipid/sterol/fatty acid biosynth
YNR048W	YNR048W	drug/ion transport;lipid/sterol/fatty acid biosynth
YNR049C	MSO1	cell polarity/morphogenesis
YNR051C	BRE5	ER<->Golgi traffic
YNR052C_damp	POP2_damp	chromatin/transcription;RNA processing
YNR055C	HOL1	drug/ion transport
YNR057C	BIO4	metabolism/mitochondria
YNR058W	BIO3	metabolism/mitochondria
YNR059W	MNT4	protein folding/protein glycosylation/cell wall biogenesis&integrity
YNR060W	FRE4	drug/ion transport
YNR061C	YNR061C	unknown
YNR062C	YNR062C	unknown
YNR063W	YNR063W	unknown
YNR064C	YNR064C	unknown
YNR065C	YNR065C	unknown
YNR066C	YNR066C	unknown
YNR067C	DSE4	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis
YNR069C	BSC5	unknown
YNR071C	YNR071C	unknown
YNR072W	HXT17	drug/ion transport;metabolism/mitochondria
YNR073C	YNR073C	unknown
YNR074C	AIF1	unknown
YNR075W	COS10	unknown
YOL001W	PHO80	metabolism/mitochondria;signaling/stress response
YOL002C	IZH2	drug/ion transport;metabolism/mitochondria
YOL003C	PFA4	cell polarity/morphogenesis
YOL004W	SIN3	chromatin/transcription
YOL006C	TOP1	DNA replication/repair/HR/cohesion
YOL007C	CSI2	unknown
YOL008W	COQ10	metabolism/mitochondria
YOL009C	MDM12	metabolism/mitochondria
YOL011W	PLB3	lipid/sterol/fatty acid biosynth
YOL012C	HTZ1	chromatin/transcription
YOL013C	HRD1	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YOL013W-A	YOL013W-A	unknown
YOL014W	YOL014W	unknown
YOL015W	IRC10	DNA replication/repair/HR/cohesion
YOL016C	CMK2	signaling/stress response
YOL017W	ESC8	chromatin/transcription
YOL018C	TLG2	Golgi/endosome/vacuole/sorting
YOL019W	YOL019W	unknown
YOL020W	TAT2	drug/ion transport;amino acid biosynth&transport/nitrogen utilization
YOL021C_damp	DIS3_damp	RNA processing
YOL024W	YOL024W	unknown
YOL025W	LAG2	unknown
YOL027C	MDM38	drug/ion transport;metabolism/mitochondria
YOL028C	YAP7	unknown
YOL029C	YOL029C	unknown
YOL030W	GAS5	protein folding/protein glycosylation/cell wall biogenesis&integrity
YOL031C	SIL1	ER<->Golgi traffic
YOL032W	OPI10	lipid/sterol/fatty acid biosynth
YOL035C	YOL035C	unknown
YOL036W	YOL036W	unknown
YOL037C	YOL037C	unknown
YOL039W	RPP2A	ribosome/translation
YOL041C	NOP12	ribosome/translation;RNA processing
YOL042W	NGL1	unknown
YOL043C	NTG2	DNA replication/repair/HR/cohesion
YOL045W	PSK2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YOL046C	YOL046C	unknown
YOL047C	YOL047C	unknown
YOL048C	YOL048C	unknown
YOL049W	GSH2	metabolism/mitochondria
YOL050C	YOL050C	chromatin/transcription
YOL052C	SPE2	metabolism/mitochondria
YOL053C-A	YOL053C-A	unknown
YOL053W	AIM39	unknown
YOL054W	PSH1	chromatin/transcription
YOL055C	THI20	metabolism/mitochondria
YOL056W	GPM3	metabolism/mitochondria
YOL057W	YOL057W	unknown
YOL059W	GPD2	metabolism/mitochondria
YOL060C	MAM3	metabolism/mitochondria
YOL061W	PRS5	amino acid biosynth&transport/nitrogen utilization
YOL062C	APM4	cell polarity/morphogenesis
YOL063C	CRT10	chromatin/transcription;DNA replication/repair/HR/cohesion
YOL064C	MET22	metabolism/mitochondria
YOL065C	INP54	cell polarity/morphogenesis;ER<->Golgi traffic;Golgi/endosome/vacuole/sorting;signaling/stress response
YOL067C	RTG1	metabolism/mitochondria;signaling/stress response;chromatin/transcription;amino acid biosynth&transport/nitrogen utilization
YOL068C	HST1	chromatin/transcription
YOL070C	NBA1	unknown
YOL071W	EMI5	unknown
YOL073C	YOL073C	unknown
YOL075C	YOL075C	unknown
YOL077W-A	ATP19	metabolism/mitochondria
YOL079W	YOL079W	unknown
YOL080C	REX4	ribosome/translation
YOL081W	IRA2	signaling/stress response
YOL083W	YOL083W	unknown
YOL084W	PHM7	unknown
YOL085C	YOL085C	unknown
YOL086C	ADH1	metabolism/mitochondria
YOL087C	DUF1	unknown
YOL088C	MPD2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YOL089C	HAL9	signaling/stress response;chromatin/transcription
YOL090W	MSH2	DNA replication/repair/HR/cohesion
YOL091W	SPO21	G1/S and G2/M cell cycle progression/meiosis;chromosome segregation/kinetochore/spindle/microtubule
YOL092W	YOL092W	unknown
YOL093W	TRM10	ribosome/translation
YOL095C	HMI1	metabolism/mitochondria
YOL098C	YOL098C	unknown
YOL099C	YOL099C	unknown
YOL101C	IZH4	drug/ion transport;metabolism/mitochondria
YOL103W	ITR2	drug/ion transport;lipid/sterol/fatty acid biosynth
YOL104C	NDJ1	G1/S and G2/M cell cycle progression/meiosis
YOL105C	WSC3	protein folding/protein glycosylation/cell wall biogenesis&integrity
YOL106W	YOL106W	unknown
YOL107W	YOL107W	unknown
YOL108C	INO4	lipid/sterol/fatty acid biosynth
YOL109W	ZEO1	protein folding/protein glycosylation/cell wall biogenesis&integrity;signaling/stress response
YOL110W	SHR5	signaling/stress response
YOL111C	MDY2	unknown
YOL112W	MSB4	cell polarity/morphogenesis;ER<->Golgi traffic
YOL113W	SKM1	cell polarity/morphogenesis;signaling/stress response
YOL114C	YOL114C	unknown
YOL115W	PAP2	ribosome/translation;RNA processing
YOL116W	MSN1	metabolism/mitochondria;signaling/stress response;chromatin/transcription
YOL117W	RRI2	protein degradation/proteosome
YOL118C	YOL118C	unknown
YOL119C	MCH4	unknown
YOL122C	SMF1	drug/ion transport
YOL124C	TRM11	ribosome/translation
YOL126C	MDH2	metabolism/mitochondria
YOL128C	YGK3	Golgi/endosome/vacuole/sorting;signaling/stress response
YOL129W	VPS68	Golgi/endosome/vacuole/sorting
YOL130W_damp	ALR1_damp	drug/ion transport
YOL131W	YOL131W	unknown
YOL132W	GAS4	protein folding/protein glycosylation/cell wall biogenesis&integrity
YOL135C_tsq739	med7-163	chromatin/transcription
YOL136C	PFK27	metabolism/mitochondria
YOL137W	BSC6	unknown
YOL141W	PPM2	ribosome/translation
YOL150C	YOL150C	unknown
YOL151W	GRE2	metabolism/mitochondria;lipid/sterol/fatty acid biosynth;signaling/stress response
YOL152W	FRE7	drug/ion transport
YOL153C	YOL153C	unknown
YOL155C	HPF1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YOL158C	ENB1	drug/ion transport
YOL159C	YOL159C	unknown
YOL160W	YOL160W	unknown
YOL162W	YOL162W	unknown
YOL163W	YOL163W	unknown
YOR001W	RRP6	RNA processing
YOR002W	ALG6	protein folding/protein glycosylation/cell wall biogenesis&integrity
YOR003W	YSP3	unknown
YOR005C	DNL4	DNA replication/repair/HR/cohesion
YOR006C	TSR3	unknown
YOR007C	SGT2	unknown
YOR008C-A	YOR008C-A	unknown
YOR009W	TIR4	protein folding/protein glycosylation/cell wall biogenesis&integrity
YOR010C	TIR2	unknown
YOR011W	AUS1	drug/ion transport;lipid/sterol/fatty acid biosynth
YOR012W	YOR012W	unknown
YOR013W	IRC11	unknown
YOR014W	RTS1	chromosome segregation/kinetochore/spindle/microtubule
YOR015W	YOR015W	unknown
YOR016C	ERP4	ER<->Golgi traffic
YOR017W	PET127	metabolism/mitochondria;RNA processing
YOR018W	ROD1	cell polarity/morphogenesis
YOR019W	YOR019W	unknown
YOR021C	YOR021C	unknown
YOR022C	YOR022C	unknown
YOR023C	AHC1	chromatin/transcription
YOR024W	YOR024W	unknown
YOR025W	HST3	DNA replication/repair/HR/cohesion
YOR026W	BUB3	chromosome segregation/kinetochore/spindle/microtubule
YOR027W	STI1	signaling/stress response
YOR028C	CIN5	signaling/stress response;chromatin/transcription
YOR029W	YOR029W	unknown
YOR030W	DFG16	Golgi/endosome/vacuole/sorting
YOR031W	CRS5	drug/ion transport;metabolism/mitochondria
YOR032C	HMS1	signaling/stress response;chromatin/transcription
YOR033C	EXO1	DNA replication/repair/HR/cohesion
YOR034C	AKR2	cell polarity/morphogenesis;Golgi/endosome/vacuole/sorting
YOR035C	SHE4	cell polarity/morphogenesis
YOR036W	PEP12	Golgi/endosome/vacuole/sorting
YOR037W	CYC2	metabolism/mitochondria
YOR038C	HIR2	chromatin/transcription
YOR039W	CKB2	signaling/stress response
YOR040W	GLO4	metabolism/mitochondria
YOR041C	YOR041C	unknown
YOR042W	CUE5	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YOR043W	WHI2	signaling/stress response
YOR044W	IRC23	unknown
YOR045W	TOM6	metabolism/mitochondria
YOR047C	STD1	metabolism/mitochondria;signaling/stress response
YOR049C	RSB1	lipid/sterol/fatty acid biosynth
YOR050C	YOR050C	unknown
YOR051C	YOR051C	unknown
YOR052C	YOR052C	unknown
YOR053W	YOR053W	unknown
YOR054C	VHS3	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YOR055W	YOR055W	unknown
YOR056C_damp	NOB1_damp	ribosome/translation;protein degradation/proteosome
YOR058C	ASE1	chromosome segregation/kinetochore/spindle/microtubule
YOR059C	YOR059C	unknown
YOR061W	CKA2	signaling/stress response
YOR062C	YOR062C	unknown
YOR064C	YNG1	chromatin/transcription
YOR065W	CYT1	metabolism/mitochondria
YOR066W	MSA1	G1/S and G2/M cell cycle progression/meiosis;chromatin/transcription
YOR067C	ALG8	protein folding/protein glycosylation/cell wall biogenesis&integrity
YOR068C	VAM10	Golgi/endosome/vacuole/sorting
YOR069W	VPS5	Golgi/endosome/vacuole/sorting
YOR070C	GYP1	Golgi/endosome/vacuole/sorting
YOR071C	NRT1	drug/ion transport
YOR072W	YOR072W	unknown
YOR076C	SKI7	RNA processing
YOR077W_damp	RTS2_damp	unknown
YOR078W	BUD21	ribosome/translation
YOR079C	ATX2	drug/ion transport;Golgi/endosome/vacuole/sorting
YOR080W	DIA2	DNA replication/repair/HR/cohesion
YOR081C	TGL5	drug/ion transport;metabolism/mitochondria
YOR082C	YOR082C	unknown
YOR083W	WHI5	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response;chromatin/transcription
YOR085W	OST3	protein folding/protein glycosylation/cell wall biogenesis&integrity
YOR086C	TCB1	unknown
YOR087W	YVC1	drug/ion transport
YOR088W	YOR088W	unknown
YOR089C	VPS21	Golgi/endosome/vacuole/sorting
YOR090C	PTC5	signaling/stress response
YOR091W	TMA46	unknown
YOR092W	ECM3	unknown
YOR093C	CMR2	unknown
YOR094W	ARF3	cell polarity/morphogenesis;ER<->Golgi traffic;Golgi/endosome/vacuole/sorting
YOR097C	YOR097C	unknown
YOR099W	KTR1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YOR100C	CRC1	drug/ion transport;metabolism/mitochondria
YOR101W	RAS1	signaling/stress response
YOR103C_damp	OST2_damp	protein folding/protein glycosylation/cell wall biogenesis&integrity
YOR104W	PIN2	unknown
YOR105W	YOR105W	unknown
YOR106W	VAM3	Golgi/endosome/vacuole/sorting
YOR107W	RGS2	signaling/stress response
YOR108W	LEU9	amino acid biosynth&transport/nitrogen utilization
YOR109W	INP53	Golgi/endosome/vacuole/sorting
YOR111W	YOR111W	unknown
YOR112W	CEX1	nuclear-cytoplasic transport
YOR113W	AZF1	G1/S and G2/M cell cycle progression/meiosis;chromatin/transcription
YOR114W	YOR114W	unknown
YOR115C	TRS33	ER<->Golgi traffic
YOR116C_tsq831	rpo31-698	ribosome/translation;chromatin/transcription
YOR118W	RTC5	unknown
YOR120W	GCY1	metabolism/mitochondria;signaling/stress response
YOR121C	YOR121C	unknown
YOR123C	LEO1	chromatin/transcription
YOR124C	UBP2	unknown
YOR125C	CAT5	metabolism/mitochondria
YOR126C	IAH1	metabolism/mitochondria
YOR127W	RGA1	cell polarity/morphogenesis
YOR128C	ADE2	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YOR129C	AFI1	cell polarity/morphogenesis
YOR131C	YOR131C	unknown
YOR132W	VPS17	Golgi/endosome/vacuole/sorting
